title,authors,categories,published_year
The Language Instinct,Steven Pinker,Language Arts & Disciplines,2000.0
Prodigal Summer,Barbara Kingsolver,Fiction,2001.0
Tales of the City,Armistead Maupin,Fiction,1989.0
Fear of Falling,Barbara Ehrenreich,Social Science,1989.0
The Hidden Hand,Carroll John Daly,Fiction,1992.0
Europe,Norman Davies,History,1998.0
Savage Inequalities,Jonathan Kozol,Education,1992.0
Gold Bug Variations,Richard Powers,Fiction,1992.0
Three Farmers on Their Way to a Dance,Richard Powers,Fiction,1992.0
The Fourteen Sisters of Emilio Montez O'Brien,Oscar Hijuelos,Fiction,1996.0
Fiskadoro,Denis Johnson,Fiction,1995.0
The Stars at Noon,Denis Johnson,Fiction,1995.0
Operation Wandering Soul,Richard Powers,Fiction,1994.0
Reasons to Live,Amy Hempel,Fiction,1995.0
Prisoner's Dilemma,Richard Powers,Fiction,1996.0
The God of Small Things,Arundhati Roy,Fiction,1998.0
Courtesans and Fishcakes,James Davidson,History,1999.0
Girlfriend in a Coma,Douglas Coupland,Fiction,1999.0
The Long Hard Road Out of Hell,Marilyn Manson;Neil Strauss,Biography & Autobiography,1999.0
Confessions of an Ugly Stepsister,Gregory Maguire,Fiction,2000.0
The Dirt,Tommy Lee;Vince Neil;Nikki Sixx;Mick Mars,Biography & Autobiography,2002.0
Life Is Elsewhere,Milan Kundera;Aaron Asher,Fiction,2000.0
Cat Laughing Last,Shirley Rousseau Murphy,Fiction,2002.0
The Crow: The Lazarus Heart,Poppy Z. Brite,Fiction,1999.0
Well of Darkness,Margaret Weis;Tracy Hickman,Fiction,2001.0
The Light Fantastic,Terry Pratchett,Fiction,2000.0
U.S.S. Seawolf,Patrick Robinson,Fiction,2001.0
Realms of Dragons,Margaret Weis;Denise Little;Tracy Hickman,Fiction,1999.0
The Player of Games,Iain Banks,Fiction,1997.0
My Soul to Keep,Tananarive Due,Fiction,1998.0
Peril's Gate,Janny Wurts,Fiction,2002.0
Fugitive Prince,Janny Wurts,Fiction,1998.0
Love in Vein,Poppy Z. Brite,Fiction,1995.0
Cat on the Edge,Shirley Rousseau Murphy,Fiction,1996.0
Cat in the Dark,Shirley Rousseau Murphy,Fiction,1999.0
Treasure Box,Orson Scott Card,Fiction,1997.0
Homebody,Orson Scott Card,Fiction,1999.0
Imajica II,Clive Barker,Fiction,1995.0
Choke,Stuart Woods,Fiction,1996.0
Dirt,Stuart Woods,Fiction,1997.0
Kilo Class,Patrick Robinson,Fiction,1999.0
Their Eyes Were Watching God,Zora Neale Hurston,Fiction,2006.0
A Tree Grows in Brooklyn,Betty Smith,Fiction,2006.0
One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,2006.0
Daughter of Fortune,Isabel Allende,Fiction,2006.0
By the River Piedra I Sat Down and Wept,Paulo Coelho,Fiction,2006.0
The Alchemist,Paulo Coelho,Fiction,2006.0
Veronika Decides to Die,Paulo Coelho,Fiction,2006.0
Goodnight Moon 123,Margaret Wise Brown;Clement Hurd,Juvenile Fiction,2007.0
Charlotte's Web Signature Edition,E. B. White,Juvenile Fiction,2006.0
By Myself and Then Some,Lauren Bacall,Biography & Autobiography,2006.0
The Art of Loving,Erich Fromm,Self-Help,2006.0
Factotum tie-in,Charles Bukowski,Fiction,2006.0
The White Masai,Corinne Hofmann,Biography & Autobiography,2006.0
